frames,measurement_x,measurement_y,objid,position_x,position_y,pixel_width,pixel_height,manual_tracker_fix,pos_x_mm,pos_y_mm,zeroed_x_mm,zeroed_y_mm,speed_EL
74,404.0,16.0,0,403.982135026,15.9945655516,520,215,False,62.1510976963,2.23179984441,62.1510976963,2.23179984441,0.151112642006
75,404.0,16.0,0,404.010324219,15.9979355161,520,215,False,62.1554344952,2.23227007201,62.1554344952,2.23227007201,0.00436221719995
76,404.0,16.0,0,404.004660707,15.9992286697,520,215,False,62.1545631857,2.23245051205,62.1545631857,2.23245051205,0.000889797122314
77,373.0,32.0,0,373.554702165,31.7143311825,520,215,False,57.4699541792,4.42525551384,57.4699541792,4.42525551384,5.17242257741
78,334.0,33.0,0,334.375898819,33.1474148142,520,215,False,51.4424459722,4.62522067175,51.4424459722,4.62522067175,6.03082425965
79,311.0,22.0,0,310.862816837,22.2811295256,520,215,False,47.8250487442,3.10899481753,47.8250487442,3.10899481753,3.92230844608
80,281.0,21.0,0,281.060454457,20.9372421507,520,215,False,43.2400699165,2.92147564893,43.2400699165,2.92147564893,4.58881186027
81,262.0,41.0,0,261.831672597,40.5940287064,520,215,False,40.2817957842,5.66428307531,40.2817957842,5.66428307531,4.03415151179
82,254.0,59.0,0,253.731928583,58.8660525031,520,215,False,39.0356813205,8.21386779113,39.0356813205,8.21386779113,2.83781315096
83,235.0,83.0,0,235.086459035,82.843888715,520,215,False,36.1671475438,11.5596123788,36.1671475438,11.5596123788,4.40709574139
84,219.0,90.0,0,218.98763454,90.2399509103,520,215,False,33.6904053138,12.5916210573,33.6904053138,12.5916210573,2.68315001187
85,197.0,107.0,0,197.100275307,106.925337434,520,215,False,30.323119278,14.9198145257,30.323119278,14.9198145257,4.09378798591
86,174.0,123.0,0,174.060229711,122.982155617,520,215,False,26.7784968786,17.1603007838,26.7784968786,17.1603007838,4.1933431325
87,152.0,135.0,0,152.005705965,135.065172197,520,215,False,23.3854932254,18.8463030973,23.3854932254,18.8463030973,3.78880952173
88,125.0,136.0,0,125.090507121,136.223927381,520,215,False,19.2446934032,19.0079898671,19.2446934032,19.0079898671,4.1439553302
89,105.0,129.0,0,104.913108552,129.235705423,520,215,False,16.1404782388,18.0328891288,16.1404782388,18.0328891288,3.253762935
90,84.0,119.0,0,83.9796780394,119.148645672,520,215,False,12.9199504676,16.6253924193,12.9199504676,16.6253924193,3.51466159281
91,58.0,114.0,0,58.0821846466,113.969130217,520,215,False,8.93572071486,15.9026693326,8.93572071486,15.9026693326,4.049248743
92,46.0,112.0,0,45.785218315,111.930856806,520,215,False,7.04387974077,15.6182590892,7.04387974077,15.6182590892,1.91309996022
93,33.0,100.0,0,32.9260396296,100.149834297,520,215,False,5.0655445584,13.9743954833,5.0655445584,13.9743954833,2.5721776083
94,33.0,85.0,0,32.7408531129,85.1177581182,520,215,False,5.03705432506,11.8768964816,5.03705432506,11.8768964816,2.09769248354
95,31.0,85.0,0,30.9280023188,84.7793081749,520,215,False,4.75815420289,11.8296709081,4.75815420289,11.8296709081,0.282870169754
96,31.0,85.0,0,30.9386694778,84.9050831717,520,215,False,4.75979530428,11.8472209077,4.75979530428,11.8472209077,0.0176265622877
97,31.0,85.0,0,30.9754903701,84.9640171204,520,215,False,4.76546005694,11.8554442494,4.76546005694,11.8554442494,0.00998562822696
98,30.0,85.0,0,30.0086222133,84.9865596325,520,215,False,4.61671110974,11.8585897162,4.61671110974,11.8585897162,0.148782200732
99,30.0,85.0,0,29.9862270821,84.9949891813,520,215,False,4.61326570494,11.8597659323,4.61326570494,11.8597659323,0.00364064535173
100,30.0,85.0,0,29.9940537294,84.9981323246,520,215,False,4.61446980452,11.8602045104,4.61446980452,11.8602045104,0.00128148608657
101,31.0,85.0,0,30.9799085051,84.9993038856,520,215,False,4.76613977002,11.860367984,4.76613977002,11.860367984,0.15167005359
102,31.0,84.0,0,31.0094924986,84.0175768749,520,215,False,4.77069115363,11.7233828198,4.77069115363,11.7233828198,0.137060754144
103,31.0,85.0,0,31.0043506227,84.9717320748,520,215,False,4.7699000958,11.8565207546,4.7699000958,11.8565207546,0.13314028494
104,30.0,84.0,0,30.0194967595,84.0234704948,520,215,False,4.61838411685,11.7242051853,4.61838411685,11.7242051853,0.20115790255
105,28.0,84.0,0,28.025958489,83.9925388645,520,215,False,4.31168592138,11.7198891439,4.31168592138,11.7198891439,0.306728562923
106,27.0,83.0,0,26.9927332947,83.0142797672,520,215,False,4.15272819918,11.5833878745,4.15272819918,11.5833878745,0.20952363588
107,27.0,83.0,0,26.9786445069,82.9883023995,520,215,False,4.15056069337,11.5797631255,4.15056069337,11.5797631255,0.00422337384538
108,31.0,82.0,0,30.919802812,82.0126619641,520,215,False,4.75689274031,11.4436272508,4.75689274031,11.4436272508,0.62142700901
109,30.0,82.0,0,30.0558339757,81.9876975623,520,215,False,4.6239744578,11.4401438459,4.6239744578,11.4401438459,0.132963919672
110,30.0,81.0,0,30.0070762149,81.0124364432,520,215,False,4.61647326383,11.3040608991,4.61647326383,11.3040608991,0.136289531273
111,30.0,81.0,0,30.0019801737,80.987613503,520,215,False,4.61568925749,11.300597233,4.61568925749,11.300597233,0.00355128830339
112,30.0,81.0,0,30.0007065888,80.9945687851,520,215,False,4.61549332135,11.3015677375,4.61549332135,11.3015677375,0.000990085811558
113,30.0,81.0,0,30.0002618513,80.9979367212,520,215,False,4.6154249002,11.302037682,4.6154249002,11.302037682,0.000474899310522
114,30.0,81.0,0,30.000097524,80.9992291189,520,215,False,4.61539961908,11.3022180166,4.61539961908,11.3022180166,0.000182098022287
115,30.0,81.0,0,30.0000363452,80.9997125915,520,215,False,4.61539020695,11.3022854779,4.61539020695,11.3022854779,6.81147129272e-05
116,30.0,81.0,0,30.0000135463,80.9998928742,520,215,False,4.61538669943,11.3023106336,4.61538669943,11.3023106336,2.53990796611e-05
117,30.0,81.0,0,30.0000050489,80.9999600724,520,215,False,4.61538539214,11.3023200101,4.61538539214,11.3023200101,9.46718725939e-06
118,30.0,81.0,0,30.0000018818,80.9999851183,520,215,False,4.61538490489,11.3023235049,4.61538490489,11.3023235049,3.5285795037e-06
119,30.0,81.0,0,30.0000007014,80.9999944534,520,215,False,4.61538472329,11.3023248075,4.61538472329,11.3023248075,1.31517018571e-06
120,30.0,81.0,0,30.0000002614,80.9999979327,520,215,False,4.6153846556,11.3023252929,4.6153846556,11.3023252929,4.90180264344e-07
