animal_ID,experiment_date,acclimate_start,experiment_start,sex,dead,treatment_odor,Experiment_Acclimate,starve_date,starve_time,background,mean_speed_mm,%_time_L_half,%_time_R_half,PI_(L-R)
171129-05-top,171129,04:29:00 PM,04:44:00 PM,m,False,milliQ_water_100uL,E,171128,15:45pm,gcamp,6.4664365211,0.5789766407,0.4210233593,0.1579532814
171129-05-bottom,171129,04:29:00 PM,04:44:00 PM,f,False,milliQ_water_100uL,E,171128,16:45pm,gcamp,3.4595916977,0.5784204672,0.4215795328,0.1568409344
171130-01-top,171130,10:40:00 AM,10:55:00 AM,f,False,filtered_food_odor_100uL,E,171129,09:30:00 AM,gcamp,4.8568089296,0.7274749722,0.2725250278,0.4549499444
171130-01-bottom,171130,10:40:00 AM,10:55:00 AM,f,False,filtered_food_odor_100uL,E,171129,09:30:00 AM,gcamp,3.2078560656,0.55147468,0.44852532,0.10294936
171130-02-top,171130,11:16:00 AM,11:31:00 AM,f,False,filtered_food_odor_100uL,E,171129,09:30:00 AM,gcamp,4.4990987194,0.5553085047,0.4446914953,0.1106170094
171130-02-bottom,171130,11:16:00 AM,11:31:00 AM,f,False,filtered_food_odor_100uL,E,171129,09:30:00 AM,gcamp,3.0762407228,0.5545050056,0.4454949944,0.1090100111
171130-04-top,171130,12:16:00 PM,12:31:00 PM,f,False,filtered_food_odor_100uL,E,171129,09:30:00 AM,gcamp,5.6373589588,0.7814238042,0.2185761958,0.5628476085
171130-04-bottom,171130,12:16:00 PM,12:31:00 PM,f,False,filtered_food_odor_100uL,E,171129,09:30:00 AM,gcamp,3.6249774329,0.7630700779,0.2369299221,0.5261401557
171130-05-top,171130,12:51:00 PM,01:06:00 PM,f,False,filtered_food_odor_100uL,E,171129,09:30:00 AM,gcamp,2.5606645033,0.4833147942,0.5166852058,-0.0333704116
171130-05-bottom,171130,12:51:00 PM,01:06:00 PM,m,False,filtered_food_odor_100uL,E,171129,09:30:00 AM,gcamp,2.5141790459,0.9855394883,0.0144605117,0.9710789766
171130-06-top,171130,03:29:00 PM,03:44:00 PM,m,False,filtered_food_odor_100uL,E,171129,09:30:00 AM,gcamp,2.5306479974,0.5556173526,0.4443826474,0.1112347052
171130-06-bottom,171130,03:29:00 PM,03:44:00 PM,f,False,filtered_food_odor_100uL,E,171129,09:30:00 AM,gcamp,3.1473863031,0.5823136819,0.4176863181,0.1646273637
171130-07-top,171130,04:03:00 PM,04:18:00 PM,f,False,filtered_food_odor_100uL,E,171129,09:30:00 AM,gcamp,0.8303479054,1,0,1
171130-07-bottom,171130,04:03:00 PM,04:18:00 PM,,True,filtered_food_odor_100uL,E,171129,09:30:00 AM,gcamp,3.0313485963,0.6820455809,0.3179544191,0.3640911618
171130-08-bottom,171130,04:38:00 PM,04:53:00 PM,f,False,filtered_food_odor_100uL,E,171129,09:30:00 AM,gcamp,3.1105679564,0.7085650723,0.2914349277,0.4171301446
171214-03-top,171214,11:48:00 AM,12:03:00 PM,m,False,filtered_food_odor_100uL,E,171213,10:15:00 AM,gcamp,2.5376316007,0.6768631813,0.3231368187,0.3537263626
171214-03-bottom,171214,11:48:00 AM,12:03:00 PM,f,False,filtered_food_odor_100uL,E,171213,10:15:00 AM,gcamp,4.8835703194,0.7413793103,0.2586206897,0.4827586207
171214-06-top,171214,02:06:00 PM,02:21:00 PM,m,False,filtered_food_odor_100uL,E,171213,10:15:00 AM,orco5_gcamp,2.5231399255,0.6781545303,0.3218454697,0.3563090606
