animal_ID,experiment_date,acclimate_start,experiment_start,sex,dead,treatment_odor,starve_date,starve_time,background,A_mean_speed_mm,A_%_time_L_half,A_%_time_R_half,A_PI_(L-R),E_mean_speed_mm,E_%_time_L_half,E_%_time_R_half,E_PI_(L-R)
171214-06-bottom,171214,02:06:00 PM,02:21:00 PM,f,False,filtered_food_odor_100uL,171213,10:15:00 AM,orco5_gcamp,1.7914939299594168,0.4710789766407119,0.5289210233592881,-0.057842046718576234,2.1713712503992513,0.5444938820912124,0.45550611790878753,0.08898776418242488
171214-07-top,171214,02:41:00 PM,02:56:00 PM,f,False,filtered_food_odor_100uL,171213,10:15:00 AM,orco5_gcamp,3.3301524533671834,0.5517241379310345,0.4482758620689655,0.10344827586206895,3.155690590815656,0.7865480822679266,0.21345191773207337,0.5730961645358532
171214-07-bottom,171214,02:41:00 PM,02:56:00 PM,m,False,filtered_food_odor_100uL,171213,10:15:00 AM,orco5_gcamp,1.6577389409897527,0.4727474972191324,0.5272525027808677,-0.054505005561735265,1.064568786243067,0.22691879866518352,0.7730812013348165,-0.546162402669633
171214-08-top,171214,03:16:00 PM,03:31:00 PM,m,False,milliQ_water_100uL,171213,10:15:00 AM,orco5_gcamp,3.063227223607924,0.45383759733036705,0.5461624026696329,-0.09232480533926585,6.186435224260224,0.43659621802002224,0.5634037819799778,-0.12680756395995552
171214-08-bottom,171214,03:16:00 PM,03:31:00 PM,m,False,milliQ_water_100uL,171213,10:15:00 AM,orco5_gcamp,1.8970782048639832,0.8337041156840934,0.16629588431590656,0.6674082313681868,2.8811071504097368,0.22302558398220246,0.7769744160177976,-0.5539488320355952
171214-09-top,171214,03:50:00 PM,04:05:00 PM,m,False,milliQ_water_100uL,171213,10:15:00 AM,orco5_gcamp,3.0605097851436502,0.7296996662958843,0.27030033370411566,0.4593993325917687,5.300420604494208,0.6017797552836485,0.3982202447163515,0.203559510567297
171214-09-bottom,171214,03:50:00 PM,04:05:00 PM,m,False,milliQ_water_100uL,171213,10:15:00 AM,orco5_gcamp,2.345138730418722,0.5903279599777654,0.40967204002223456,0.18065591995553087,3.5958763302585934,0.5695216907675195,0.43047830923248054,0.13904338153503892
171214-10-top,171214,04:24:00 PM,04:39:00 PM,f,False,milliQ_water_100uL,171213,10:15:00 AM,orco5_gcamp,1.6651584729180686,0.19632925472747498,0.803670745272525,-0.60734149054505,3.117889303002195,0.25139043381535037,0.7486095661846496,-0.4972191323692992
171214-10-bottom,171214,04:24:00 PM,04:39:00 PM,m,False,milliQ_water_100uL,171213,10:15:00 AM,orco5_gcamp,1.6933517111807221,0.228587319243604,0.771412680756396,-0.542825361512792,2.477971837458819,0.24458032240133407,0.7554196775986659,-0.5108393551973318
171215-09-top,171215,03:54:00 PM,04:09:00 PM,f,False,milliQ_water_100uL,121214,09:45:00 AM,orco5_gcamp,4.0534807074210075,0.3804226918798665,0.6195773081201335,-0.23915461624026696,3.1363667817726806,0.43159065628476084,0.5684093437152391,-0.13681868743047826
171215-09-bottom,171215,03:54:00 PM,04:09:00 PM,f,False,milliQ_water_100uL,121214,09:45:00 AM,orco5_gcamp,2.5684364606521206,0.6952169076751946,0.3047830923248053,0.3904338153503893,4.838937281650564,0.44493882091212456,0.5550611790878754,-0.11012235817575089
171215-10-top,171215,04:31:00 PM,04:46:00 PM,f,False,milliQ_water_100uL,121214,09:45:00 AM,orco5_gcamp,1.4269749959127072,0.4833147942157953,0.5166852057842046,-0.03337041156840931,6.182817288236825,0.5506117908787542,0.44938820912124583,0.1012235817575084
171215-10-bottom,171215,04:31:00 PM,04:46:00 PM,f,False,milliQ_water_100uL,121214,09:45:00 AM,orco5_gcamp,1.514190201922645,0.20745272525027808,0.7925472747497219,-0.5850945494994437,1.3983212243987302,0.6301446051167965,0.36985539488320357,0.2602892102335929
171218-01-top,171218,11:01:00 AM,11:16:00 AM,m,False,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,1.716686202644116,0.40433815350389324,0.5956618464961068,-0.19132369299221352,2.0344044018363694,0.5984427141268076,0.40155728587319245,0.19688542825361516
171218-01-bottom,171218,11:01:00 AM,11:16:00 AM,m,False,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,3.5874250191376316,0.5684093437152391,0.43159065628476084,0.13681868743047826,1.9717015811352332,0.7919911012235817,0.20800889877641823,0.5839822024471635
171218-02-top,171218,11:37:00 AM,11:52:00 AM,m,False,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,2.4873346571931907,0.5528364849833148,0.4471635150166852,0.10567296996662962,2.1260955631225182,0.6243739565943238,0.3756260434056761,0.2487479131886477
171218-02-bottom,171218,11:37:00 AM,11:52:00 AM,f,False,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,2.638713226474161,0.768075639599555,0.23192436040044495,0.5361512791991101,3.234180784342924,0.7808676307007787,0.21913236929922136,0.5617352614015574
171218-03-top,171218,12:52:00 PM,01:07:00 PM,f,False,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,1.8167915404708932,0.4994438264738598,0.5005561735261401,-0.0011123470522803047,2.2351115932746812,0.9237618252643295,0.07623817473567056,0.847523650528659
171218-03-bottom,171218,12:52:00 PM,01:07:00 PM,,True,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,2.4026155016258537,0.3581757508342603,0.6418242491657397,-0.28364849833147937,2.204222625700159,0.820455808782657,0.17954419121734297,0.640911617565314
171218-04-top,171218,01:25:00 PM,01:40:00 PM,f,False,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,2.3326360351365585,0.41101223581757507,0.5889877641824249,-0.17797552836484987,1.671778130897287,0.6994991652754591,0.3005008347245409,0.39899833055091816
171218-04-bottom,171218,01:25:00 PM,01:40:00 PM,m,False,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,2.4132748432818287,0.5695216907675195,0.43047830923248054,0.13904338153503892,2.8565366511021755,0.7347052280311457,0.26529477196885426,0.4694104560622914
171218-05-top,171218,02:17:00 PM,02:32:00 PM,,True,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,2.616305979740234,0.5311457174638488,0.4688542825361513,0.06229143492769745,2.1284762419558834,0.555370061213133,0.444629938786867,0.11074012242626602
171218-05-bottom,171218,02:17:00 PM,02:32:00 PM,m,False,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,1.236006021131301,0.664071190211346,0.3359288097886541,0.3281423804226919,2.02266824112989,0.8375973303670745,0.16240266963292546,0.675194660734149
171218-06-top,171218,02:52:00 PM,03:07:00 PM,m,False,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,3.0517581110213636,0.28809788654060065,0.7119021134593994,-0.4238042269187987,2.227818900145695,0.6362625139043382,0.36373748609566187,0.2725250278086763
171218-06-bottom,171218,02:52:00 PM,03:07:00 PM,f,False,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,2.471989323116948,0.41411895497498613,0.5858810450250139,-0.1717620900500278,2.0933380853781545,0.6273637374860956,0.37263626251390436,0.2547274749721913
171218-07-top,171218,03:27:00 PM,03:42:00 PM,m,False,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,2.5083152637757586,0.4130072262367982,0.5864369093941079,-0.17342968315730967,2.0483519738167297,0.6362625139043382,0.36373748609566187,0.2725250278086763
171218-07-bottom,171218,03:27:00 PM,03:42:00 PM,m,False,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,2.261613298099979,0.47915508615897723,0.5208449138410228,-0.0416898276820456,1.7002523044156719,0.8075639599555061,0.19243604004449388,0.6151279199110122
171218-08-top,171218,04:03:00 PM,04:18:00 PM,m,False,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,2.5173642476280027,0.6151279199110122,0.38487208008898777,0.23025583982202447,2.135969154536546,0.9016120066703724,0.09783212896053363,0.8037798777098388
171218-08-bottom,171218,04:03:00 PM,04:18:00 PM,,True,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,3.0512343961381534,0.5494994438264739,0.45050055617352613,0.09899888765294773,3.1682658200290494,0.6259032795997777,0.37409672040022235,0.2518065591995553
171218-09-top,171218,04:37:00 PM,04:52:00 PM,m,False,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,3.2958230733620297,0.7015008337965536,0.29849916620344635,0.40300166759310724,3.8797105780853545,0.44438264738598443,0.5556173526140156,-0.11123470522803114
171218-09-bottom,171218,04:37:00 PM,04:52:00 PM,f,False,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,3.446065439097768,0.3309232480533927,0.6690767519466073,-0.33815350389321464,4.735509666324039,0.5522803114571746,0.44771968854282534,0.10456062291434925
171218-10-top,171218,05:11:00 PM,05:26:00 PM,,True,filtered_food_odor_100uL,171217,11:15:00 AM,gr3_gcamp,1.3465389006342807,0.30739299610894943,0.6926070038910506,-0.38521400778210113,1.4722558505998593,0.5834260289210234,0.41657397107897665,0.1668520578420467
