animal_ID,experiment_date,acclimate_start,experiment_start,sex,dead,treatment_odor,starve_date,starve_time,background
180313-03-bottom,180313,11:42:00 AM,11:57:00 AM,f,FALSE,1-octen-3-ol_100um,180312,09:30:00 AM,gr3_gcamp
180313-04-top,180313,12:52:00 PM,01:13:00 PM,f,FALSE,1-octen-3-ol_100um,180312,09:30:00 AM,gr3_gcamp
180313-05-top,180313,01:30:00 PM,01:45:00 PM,f,FALSE,1-octen-3-ol_100um,180312,09:30:00 AM,gr3_gcamp
180313-05-bottom,180313,01:30:00 PM,01:45:00 PM,m,FALSE,1-octen-3-ol_100um,180312,09:30:00 AM,gr3_gcamp
180313-06-top,180313,02:03:00 PM,02:19:00 PM,m,FALSE,1-octen-3-ol_100um,180312,09:30:00 AM,gr3_gcamp
180313-06-bottom,180313,02:03:00 PM,02:19:00 PM,m,FALSE,1-octen-3-ol_100um,180312,09:30:00 AM,gr3_gcamp
180313-07-top,180313,02:38:00 PM,02:53:00 PM,f,FALSE,1-octen-3-ol_100um,180312,09:30:00 AM,gr3_gcamp
180313-07-bottom,180313,02:38:00 PM,02:53:00 PM,m,FALSE,1-octen-3-ol_100um,180312,09:30:00 AM,gr3_gcamp
180313-08-top,180313,03:13:00 PM,03:29:00 PM,m,FALSE,1-octen-3-ol_100um,180312,09:30:00 AM,gr3_gcamp
180313-08-bottom,180313,03:13:00 PM,03:29:00 PM,m,FALSE,1-octen-3-ol_100um,180312,09:30:00 AM,gr3_gcamp
180313-09-top,180313,03:50:00 PM,04:05:00 PM,f,FALSE,1-octen-3-ol_100um,180312,09:30:00 AM,gr3_gcamp
180313-09-bottom,180313,03:50:00 PM,04:05:00 PM,m,FALSE,1-octen-3-ol_100um,180312,09:30:00 AM,gr3_gcamp
